Date,Description,Category,Amount
January 8, 2024 20:18:58,Shop,-1
January 9, 2024 20:02:00,Texts,-415.11
January 23, 2024 05:01:39,Discord,-904.31
February 9, 2024 21:01:03,Texts,-420.43
February 20, 2024 05:29:39,Shop Pay Top-Up,1810.48
March 1, 2024 03:43:26,Shop Pay Top-Up,1810.48
March 1, 2024 03:43:50,Shop Pay Top-Up,4526.20
March 1, 2024 03:44:25,Shop Pay Top-Up,4526.20
March 1, 2024 03:44:38,Shop Pay Top-Up,4526.20
March 1, 2024 03:44:50,Shop Pay Top-Up,4526.20
March 1, 2024 03:45:35,itch.io,-16796.35
March 1, 2024 05:12:18,Discord,-904.31
March 6, 2024 06:49:02,Shop,-1201.85
March 9, 2024 21:01:17,Texts,-415.11
March 23, 2024 23:36:34,Shop Pay Top-Up,1810.48
March 30, 2024 15:52:13,Shop Pay Top-Up,1810.48
March 30, 2024 17:22:55,Shop,-1201.85
April 10, 2024 17:20:08,Online,-1192.56
April 10, 2024 17:20:25,Shop Pay Top-Up,1810.48
April 12, 2024 23:55:47,Groceries,-1315.90
April 12, 2024 23:55:47,Texts,-427.12
